trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
38,False,"{'a': 0.29000000000000015, 'e': 0.8956549863849572}",20,0,-71.62315128763142,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
39,False,"{'a': 0.29500000000000015, 'e': 0.8913215767138251}",20,0,-177.06310153599532,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
40,False,"{'a': 0.30000000000000016, 'e': 0.8869204367171575}",20,0,-30.394253223169223,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.30500000000000016, 'e': 0.8824527788425689}",25,0,-154.77612702939086,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
42,False,"{'a': 0.31000000000000016, 'e': 0.877919829395115}",35,0,-203.2045328386743,"{0: 22, 1: 0, 2: 10, 3: 0, 4: 3}",0
43,False,"{'a': 0.31500000000000017, 'e': 0.8733228279782428}",20,0,-130.48759531441164,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
44,False,"{'a': 0.3200000000000002, 'e': 0.8686630269309517}",20,0,-151.49524171272512,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
45,False,"{'a': 0.3250000000000002, 'e': 0.8639416907615245}",30,0,-76.38264274312579,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
46,False,"{'a': 0.3300000000000002, 'e': 0.8591600955781826}",25,0,-130.6770586682612,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
47,False,"{'a': 0.3350000000000002, 'e': 0.8543195285170236}",25,0,-178.4875294853627,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
48,False,"{'a': 0.3400000000000002, 'e': 0.8494212871675983}",20,0,-103.53270747330471,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.3450000000000002, 'e': 0.8444666789964834}",20,0,-100.56790474943546,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.3500000000000002, 'e': 0.8394570207692073}",30,0,-144.72516899216058,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
51,False,"{'a': 0.3550000000000002, 'e': 0.8343936379708815}",20,0,-105.64880206269015,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.3600000000000002, 'e': 0.8292778642258956}",30,0,-77.90469680747881,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.3650000000000002, 'e': 0.824111040717025}",20,0,-7.522950409786824,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.3700000000000002, 'e': 0.8188945156043042}",35,0,-129.24247776306845,"{0: 29, 1: 0, 2: 2, 3: 1, 4: 3}",0
55,False,"{'a': 0.3750000000000002, 'e': 0.8136296434440143}",30,0,-73.74751216753198,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
